Team,Franchise,W,ORtg,DRtg,NRtg,SRS,Pace,Offense Four Factors_eFG%,Offense Four Factors_ORB%,Offense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_TOV%,Season
Philadelphia 76ers,Philadelphia 76ers,43.0,111.3,109.0,2.3,2.25,99.0,0.534,23.9,12.7,80.3,12.5,2020
Denver Nuggets,Denver Nuggets,46.0,113.1,111.0,2.1,2.35,97.1,0.535,24.8,12.3,76.8,12.9,2020
Indiana Pacers,Indiana Pacers,45.0,110.0,108.0,2.0,1.63,98.9,0.534,20.0,12.0,76.7,13.0,2020
Oklahoma City Thunder,Oklahoma City Thunder,44.0,110.8,108.8,2.0,2.33,98.8,0.53,19.3,12.4,76.8,12.6,2020
Phoenix Suns,Phoenix Suns,34.0,111.7,111.4,0.3,0.56,101.3,0.532,22.2,13.0,78.8,13.7,2020
Brooklyn Nets,Brooklyn Nets,35.0,108.9,109.5,-0.6,-1.01,101.4,0.52,23.2,13.1,77.8,11.0,2020
Orlando Magic,Orlando Magic,33.0,108.5,109.5,-1.0,-0.93,98.6,0.506,22.3,11.5,79.1,13.2,2020
San Antonio Spurs,San Antonio Spurs,32.0,112.4,113.5,-1.1,-0.65,100.5,0.531,20.1,11.2,79.2,11.7,2020
Memphis Grizzlies,Memphis Grizzlies,34.0,109.2,110.3,-1.1,-0.91,102.8,0.528,23.0,13.2,77.8,12.7,2020
Portland Trail Blazers,Portland Trail Blazers,35.0,113.7,114.8,-1.1,-0.61,100.7,0.533,22.4,11.2,75.3,11.2,2020
New Orleans Pelicans,New Orleans Pelicans,30.0,110.7,111.9,-1.2,-0.55,103.7,0.539,24.2,13.9,77.8,12.4,2020
Sacramento Kings,Sacramento Kings,31.0,110.2,112.2,-2.0,-1.59,98.9,0.534,21.9,13.0,78.4,13.6,2020
Chicago Bulls,Chicago Bulls,22.0,106.7,109.8,-3.1,-4.0,99.7,0.515,22.8,13.7,75.6,16.3,2020
Detroit Pistons,Detroit Pistons,20.0,109.0,112.7,-3.7,-4.38,97.6,0.529,22.6,13.8,75.9,12.7,2020
Minnesota Timberwolves,Minnesota Timberwolves,19.0,108.1,112.2,-4.1,-4.02,103.4,0.514,22.1,13.0,77.2,13.2,2020
Washington Wizards,Washington Wizards,25.0,110.9,115.5,-4.6,-5.24,102.7,0.523,22.2,12.2,75.3,13.9,2020
New York Knicks,New York Knicks,21.0,106.5,113.0,-6.5,-6.72,98.6,0.501,25.8,12.6,78.3,12.4,2020
Charlotte Hornets,Charlotte Hornets,23.0,106.3,113.3,-7.0,-7.03,95.8,0.504,23.9,13.3,74.4,13.1,2020
Atlanta Hawks,Atlanta Hawks,20.0,107.2,114.8,-7.6,-7.71,103.0,0.515,21.6,13.8,74.9,12.7,2020
Cleveland Cavaliers,Cleveland Cavaliers,19.0,107.5,115.4,-7.9,-7.77,98.7,0.522,24.6,14.6,77.4,11.7,2020
Golden State Warriors,Golden State Warriors,15.0,105.2,113.8,-8.6,-8.12,100.3,0.497,21.5,13.2,76.4,13.7,2020
Utah Jazz,Utah Jazz,52.0,117.6,108.3,9.3,8.97,98.5,0.563,24.5,12.7,79.3,10.3,2021
Los Angeles Clippers,Los Angeles Clippers,47.0,117.6,111.2,6.4,6.02,96.9,0.564,22.7,12.2,79.1,11.9,2021
Phoenix Suns,Phoenix Suns,51.0,117.2,111.3,5.9,5.67,97.2,0.564,20.8,11.5,78.5,12.4,2021
Milwaukee Bucks,Milwaukee Bucks,46.0,117.2,111.4,5.8,5.57,102.2,0.566,23.3,12.0,79.7,11.5,2021
Philadelphia 76ers,Philadelphia 76ers,49.0,113.2,107.6,5.6,5.28,99.5,0.541,23.2,12.8,78.2,13.8,2021
Denver Nuggets,Denver Nuggets,47.0,117.1,112.1,5.0,4.82,97.1,0.557,24.7,12.1,78.9,12.9,2021
Brooklyn Nets,Brooklyn Nets,48.0,118.3,113.8,4.5,4.24,99.5,0.575,21.4,12.2,77.3,11.1,2021
Los Angeles Lakers,Los Angeles Lakers,42.0,109.9,107.1,2.8,2.77,98.7,0.536,22.5,13.6,79.7,13.7,2021
Dallas Mavericks,Dallas Mavericks,42.0,115.4,113.0,2.4,2.26,97.3,0.55,21.1,11.1,77.8,11.5,2021
New York Knicks,New York Knicks,41.0,110.6,108.2,2.4,2.13,95.9,0.524,21.9,11.9,78.6,11.7,2021
Atlanta Hawks,Atlanta Hawks,41.0,115.7,113.3,2.4,2.14,97.6,0.539,24.4,11.9,77.8,11.1,2021
Portland Trail Blazers,Portland Trail Blazers,42.0,117.8,116.0,1.8,1.81,98.4,0.54,23.0,9.9,77.5,11.2,2021
Boston Celtics,Boston Celtics,36.0,114.0,112.5,1.5,1.32,98.3,0.543,24.3,12.5,78.1,12.8,2021
Golden State Warriors,Golden State Warriors,39.0,111.1,110.1,1.0,1.1,102.2,0.551,17.9,13.3,76.6,13.1,2021
Memphis Grizzlies,Memphis Grizzlies,38.0,112.0,111.0,1.0,1.07,100.4,0.528,24.2,11.6,78.3,13.1,2021
Miami Heat,Miami Heat,40.0,111.2,111.2,0.0,-0.06,96.6,0.546,19.4,13.1,77.9,13.8,2021
Indiana Pacers,Indiana Pacers,34.0,112.4,112.4,0.0,-0.13,101.6,0.542,20.2,11.9,74.9,12.7,2021
New Orleans Pelicans,New Orleans Pelicans,31.0,113.5,113.8,-0.3,-0.2,100.1,0.537,26.3,12.7,80.0,11.9,2021
Toronto Raptors,Toronto Raptors,27.0,112.0,112.5,-0.5,-0.54,99.2,0.529,20.8,11.9,76.3,14.4,2021
Chicago Bulls,Chicago Bulls,31.0,111.1,112.0,-0.9,-0.94,99.0,0.547,22.3,13.6,80.3,11.6,2021
San Antonio Spurs,San Antonio Spurs,33.0,111.0,112.8,-1.8,-1.58,98.9,0.517,20.0,10.2,77.3,11.8,2021
Washington Wizards,Washington Wizards,34.0,111.2,113.0,-1.8,-1.85,104.1,0.531,21.3,12.3,77.6,12.5,2021
Charlotte Hornets,Charlotte Hornets,33.0,110.9,112.8,-1.9,-1.94,98.3,0.532,23.5,13.3,75.7,13.2,2021
Sacramento Kings,Sacramento Kings,31.0,113.6,117.2,-3.6,-3.45,100.0,0.549,21.3,12.0,75.0,12.1,2021
Detroit Pistons,Detroit Pistons,20.0,108.0,112.5,-4.5,-4.38,97.9,0.519,21.9,13.5,76.9,12.6,2021
Minnesota Timberwolves,Minnesota Timberwolves,23.0,109.5,115.0,-5.5,-5.25,101.6,0.52,22.7,12.4,76.8,13.3,2021
Houston Rockets,Houston Rockets,17.0,107.1,114.9,-7.8,-7.5,101.4,0.521,19.8,13.0,77.1,12.9,2021
Cleveland Cavaliers,Cleveland Cavaliers,22.0,105.8,114.4,-8.6,-8.19,97.3,0.508,23.6,13.9,76.6,13.0,2021
Orlando Magic,Orlando Magic,21.0,105.1,114.5,-9.4,-9.02,98.7,0.49,21.6,11.5,78.2,11.5,2021
Oklahoma City Thunder,Oklahoma City Thunder,22.0,103.5,114.0,-10.5,-10.13,101.0,0.509,21.2,14.2,77.9,11.5,2021
Boston Celtics,Boston Celtics,51.0,114.4,106.9,7.5,7.02,96.6,0.542,24.0,12.4,77.3,12.5,2022
Phoenix Suns,Phoenix Suns,64.0,114.8,107.3,7.5,6.94,99.8,0.549,22.3,11.6,77.1,13.0,2022
Utah Jazz,Utah Jazz,49.0,116.7,110.5,6.2,5.67,97.1,0.555,25.4,12.7,78.3,10.9,2022
Memphis Grizzlies,Memphis Grizzlies,56.0,114.6,109.0,5.6,5.37,100.3,0.522,30.0,11.2,77.8,13.3,2022
Golden State Warriors,Golden State Warriors,53.0,112.5,106.9,5.6,5.52,98.4,0.552,22.8,13.5,78.7,13.0,2022
Miami Heat,Miami Heat,53.0,113.7,109.1,4.6,4.23,95.9,0.547,23.5,13.4,78.0,13.8,2022
Dallas Mavericks,Dallas Mavericks,52.0,112.8,109.4,3.4,3.12,95.4,0.538,21.3,11.7,78.0,12.2,2022
Milwaukee Bucks,Milwaukee Bucks,51.0,115.1,111.8,3.3,3.22,99.9,0.546,23.0,11.9,78.6,11.6,2022
Philadelphia 76ers,Philadelphia 76ers,51.0,113.5,110.8,2.7,2.57,96.2,0.534,20.1,11.6,76.8,12.1,2022
Minnesota Timberwolves,Minnesota Timberwolves,46.0,114.3,111.7,2.6,2.53,100.9,0.539,24.4,12.4,74.9,14.2,2022
Denver Nuggets,Denver Nuggets,48.0,114.5,112.1,2.4,2.16,97.8,0.556,21.9,13.2,78.3,11.7,2022
Toronto Raptors,Toronto Raptors,48.0,112.9,110.5,2.4,2.38,96.0,0.51,28.4,11.0,75.6,14.4,2022
Cleveland Cavaliers,Cleveland Cavaliers,44.0,111.9,109.7,2.2,2.04,96.1,0.538,24.0,13.2,76.5,12.3,2022
Atlanta Hawks,Atlanta Hawks,43.0,116.5,114.9,1.6,1.55,97.7,0.543,23.0,10.8,76.9,11.5,2022
Brooklyn Nets,Brooklyn Nets,44.0,113.6,112.8,0.8,0.82,99.0,0.54,23.9,12.5,75.1,11.7,2022
Charlotte Hornets,Charlotte Hornets,43.0,114.1,113.7,0.4,0.53,100.0,0.544,23.3,11.6,74.8,13.1,2022
San Antonio Spurs,San Antonio Spurs,34.0,112.4,112.3,0.1,0.02,100.0,0.527,23.7,11.1,75.1,12.1,2022
Los Angeles Clippers,Los Angeles Clippers,42.0,110.1,110.1,0.0,0.09,98.0,0.531,20.6,12.5,74.4,12.0,2022
New York Knicks,New York Knicks,37.0,110.4,110.5,-0.1,-0.01,95.9,0.513,25.1,12.0,78.8,11.7,2022
Chicago Bulls,Chicago Bulls,46.0,113.2,113.6,-0.4,-0.38,98.3,0.541,20.4,11.8,78.3,11.9,2022
New Orleans Pelicans,New Orleans Pelicans,36.0,112.0,113.0,-1.0,-0.84,97.2,0.517,26.9,12.5,78.2,13.0,2022
Los Angeles Lakers,Los Angeles Lakers,33.0,110.3,113.3,-3.0,-3.08,100.1,0.537,21.1,12.8,75.8,12.2,2022
Washington Wizards,Washington Wizards,35.0,111.1,114.5,-3.4,-3.23,97.0,0.532,20.9,12.1,76.9,10.7,2022
Indiana Pacers,Indiana Pacers,25.0,112.6,116.1,-3.5,-3.26,98.0,0.531,25.5,12.7,76.2,11.9,2022
Sacramento Kings,Sacramento Kings,30.0,109.9,115.3,-5.4,-5.26,99.8,0.525,21.3,12.5,76.0,11.9,2022
Detroit Pistons,Detroit Pistons,23.0,106.0,113.8,-7.8,-7.36,98.4,0.494,23.4,12.6,75.6,13.1,2022
Orlando Magic,Orlando Magic,22.0,104.5,112.5,-8.0,-7.67,99.2,0.503,19.8,13.0,77.2,11.7,2022
Oklahoma City Thunder,Oklahoma City Thunder,24.0,104.6,112.8,-8.2,-7.9,98.6,0.497,21.8,12.5,76.1,11.8,2022
Houston Rockets,Houston Rockets,20.0,108.4,116.7,-8.3,-8.26,100.9,0.534,21.7,14.5,74.4,12.3,2022
Portland Trail Blazers,Portland Trail Blazers,27.0,107.8,116.9,-9.1,-8.55,98.3,0.515,22.9,13.0,76.9,12.7,2022
Boston Celtics,Boston Celtics,57.0,118.0,111.5,6.5,6.38,98.5,0.566,22.1,12.0,78.5,11.3,2023
Cleveland Cavaliers,Cleveland Cavaliers,51.0,116.1,110.6,5.5,5.23,95.7,0.556,23.6,12.3,76.3,14.4,2023
Philadelphia 76ers,Philadelphia 76ers,54.0,117.7,113.3,4.4,4.37,96.9,0.563,21.6,12.6,77.2,13.0,2023
Memphis Grizzlies,Memphis Grizzlies,51.0,115.1,111.2,3.9,3.6,101.1,0.54,26.5,11.7,75.9,13.1,2023
Milwaukee Bucks,Milwaukee Bucks,58.0,115.4,111.9,3.5,3.61,100.5,0.555,25.0,12.7,77.8,10.4,2023
Denver Nuggets,Denver Nuggets,53.0,117.6,114.2,3.4,3.04,98.1,0.573,24.8,13.1,76.4,12.2,2023
New York Knicks,New York Knicks,47.0,117.8,114.8,3.0,2.99,97.1,0.541,28.3,11.4,77.1,11.4,2023
Sacramento Kings,Sacramento Kings,48.0,119.4,116.8,2.6,2.3,100.3,0.572,22.7,12.0,77.2,12.6,2023
Phoenix Suns,Phoenix Suns,45.0,115.1,113.0,2.1,2.08,98.2,0.535,26.6,12.0,76.0,12.9,2023
New Orleans Pelicans,New Orleans Pelicans,42.0,114.4,112.5,1.9,1.63,99.1,0.543,24.7,12.9,77.4,13.4,2023
Golden State Warriors,Golden State Warriors,44.0,116.1,114.4,1.7,1.66,101.6,0.571,24.4,14.1,76.0,12.3,2023
Toronto Raptors,Toronto Raptors,41.0,115.5,114.0,1.5,1.59,97.1,0.517,27.8,10.3,76.7,15.3,2023
Chicago Bulls,Chicago Bulls,40.0,113.5,112.2,1.3,1.37,98.5,0.55,20.1,12.2,77.8,13.5,2023
Oklahoma City Thunder,Oklahoma City Thunder,40.0,115.2,114.2,1.0,0.96,101.1,0.531,24.7,11.2,72.9,14.4,2023
Brooklyn Nets,Brooklyn Nets,45.0,115.0,114.1,0.9,1.03,98.3,0.562,19.6,12.7,73.7,12.2,2023
Los Angeles Lakers,Los Angeles Lakers,43.0,114.5,113.9,0.6,0.43,101.3,0.542,22.8,12.3,76.3,10.9,2023
Los Angeles Clippers,Los Angeles Clippers,44.0,115.0,114.5,0.5,0.31,98.0,0.551,22.9,12.8,76.6,11.7,2023
Atlanta Hawks,Atlanta Hawks,41.0,116.6,116.3,0.3,0.32,100.7,0.541,25.1,11.2,75.8,12.4,2023
Dallas Mavericks,Dallas Mavericks,38.0,116.8,116.7,0.1,-0.14,96.6,0.565,18.0,11.4,75.5,11.9,2023
Minnesota Timberwolves,Minnesota Timberwolves,42.0,113.7,113.8,-0.1,-0.22,101.0,0.56,21.5,13.6,74.3,13.3,2023
Miami Heat,Miami Heat,44.0,113.0,113.3,-0.3,-0.13,96.3,0.53,22.8,12.4,77.7,14.5,2023
Utah Jazz,Utah Jazz,37.0,115.8,116.7,-0.9,-1.03,100.5,0.547,26.8,13.3,75.2,10.9,2023
Washington Wizards,Washington Wizards,35.0,114.4,115.6,-1.2,-1.06,98.6,0.55,22.6,12.7,76.1,11.0,2023
Orlando Magic,Orlando Magic,34.0,111.6,114.2,-2.6,-2.39,99.3,0.532,23.8,13.4,77.7,13.1,2023
Indiana Pacers,Indiana Pacers,35.0,114.6,117.7,-3.1,-2.91,101.1,0.545,23.4,13.0,72.2,13.0,2023
Portland Trail Blazers,Portland Trail Blazers,33.0,114.8,118.8,-4.0,-3.96,98.6,0.549,22.4,13.1,74.9,12.1,2023
Charlotte Hornets,Charlotte Hornets,27.0,109.2,115.3,-6.1,-5.89,100.8,0.516,23.8,12.3,75.5,12.5,2023
Houston Rockets,Houston Rockets,22.0,111.4,119.3,-7.9,-7.62,99.0,0.516,30.2,14.0,75.8,11.8,2023
Detroit Pistons,Detroit Pistons,17.0,110.7,118.9,-8.2,-7.73,99.0,0.52,24.9,13.3,74.0,11.9,2023
San Antonio Spurs,San Antonio Spurs,22.0,110.2,120.0,-9.8,-9.82,101.6,0.525,25.6,13.0,74.9,12.0,2023
Boston Celtics,Boston Celtics,64.0,123.2,111.6,11.6,10.75,97.2,0.578,24.9,10.8,76.3,10.8,2024
Oklahoma City Thunder,Oklahoma City Thunder,57.0,119.5,112.1,7.4,7.36,99.8,0.573,21.1,11.4,73.8,13.6,2024
Minnesota Timberwolves,Minnesota Timberwolves,56.0,115.6,109.0,6.6,6.39,97.1,0.559,23.2,13.0,76.9,12.9,2024
Denver Nuggets,Denver Nuggets,57.0,118.5,113.0,5.5,5.23,96.8,0.562,25.5,11.5,75.6,11.2,2024
New York Knicks,New York Knicks,50.0,118.2,113.4,4.8,4.36,95.2,0.54,29.4,11.9,76.1,12.3,2024
New Orleans Pelicans,New Orleans Pelicans,49.0,117.4,112.9,4.5,4.46,97.9,0.558,24.4,11.8,76.9,12.9,2024
Los Angeles Clippers,Los Angeles Clippers,51.0,118.8,115.4,3.4,3.41,97.2,0.561,24.4,12.0,74.8,11.7,2024
Philadelphia 76ers,Philadelphia 76ers,47.0,116.9,113.8,3.1,2.51,97.5,0.532,24.8,10.7,74.3,13.1,2024
Phoenix Suns,Phoenix Suns,49.0,117.6,114.6,3.0,3.08,98.3,0.565,25.0,13.4,75.6,11.3,2024
Indiana Pacers,Indiana Pacers,47.0,121.0,118.0,3.0,2.75,101.7,0.578,23.8,11.3,74.1,12.1,2024
Golden State Warriors,Golden State Warriors,46.0,117.8,115.2,2.6,2.77,99.2,0.557,27.5,12.5,76.1,11.5,2024
Milwaukee Bucks,Milwaukee Bucks,49.0,118.4,115.8,2.6,2.44,99.9,0.568,21.8,11.5,77.2,10.6,2024
Cleveland Cavaliers,Cleveland Cavaliers,48.0,115.2,112.7,2.5,1.98,97.2,0.557,23.2,12.4,76.9,12.3,2024
Dallas Mavericks,Dallas Mavericks,50.0,117.6,115.4,2.2,2.3,100.1,0.562,22.2,11.2,75.2,12.1,2024
Orlando Magic,Orlando Magic,47.0,113.4,111.3,2.1,1.48,96.9,0.541,25.3,13.3,78.1,13.8,2024
Miami Heat,Miami Heat,46.0,114.0,112.2,1.8,1.1,96.2,0.538,21.8,11.7,78.1,12.7,2024
Sacramento Kings,Sacramento Kings,46.0,116.9,115.2,1.7,2.29,98.8,0.556,24.5,11.6,78.4,12.5,2024
Houston Rockets,Houston Rockets,41.0,114.5,113.4,1.1,1.24,99.0,0.529,25.1,11.2,76.0,12.2,2024
Los Angeles Lakers,Los Angeles Lakers,47.0,115.9,115.3,0.6,1.07,100.9,0.566,19.9,12.5,76.2,11.7,2024
Chicago Bulls,Chicago Bulls,39.0,114.9,116.3,-1.4,-1.77,96.3,0.534,25.1,11.0,76.4,12.7,2024
Atlanta Hawks,Atlanta Hawks,36.0,117.2,119.4,-2.2,-2.38,100.1,0.539,27.1,11.6,75.2,12.4,2024
Brooklyn Nets,Brooklyn Nets,32.0,113.2,116.1,-2.9,-3.02,96.9,0.531,25.2,11.8,76.0,11.4,2024
Utah Jazz,Utah Jazz,31.0,115.5,120.4,-4.9,-4.22,99.5,0.539,28.1,13.6,75.2,10.9,2024
San Antonio Spurs,San Antonio Spurs,22.0,110.0,116.4,-6.4,-5.8,101.1,0.532,22.9,13.2,76.4,11.7,2024
Toronto Raptors,Toronto Raptors,25.0,112.3,118.8,-6.5,-6.45,99.4,0.535,24.2,12.4,73.9,12.2,2024
Memphis Grizzlies,Memphis Grizzlies,27.0,107.2,114.3,-7.1,-6.57,98.2,0.509,23.8,13.4,74.8,13.5,2024
Detroit Pistons,Detroit Pistons,14.0,109.7,118.8,-9.1,-9.06,99.8,0.526,23.9,13.5,77.3,11.1,2024
Washington Wizards,Washington Wizards,15.0,110.5,119.6,-9.1,-9.29,102.7,0.538,20.0,12.2,72.5,12.0,2024
Portland Trail Blazers,Portland Trail Blazers,21.0,108.3,117.5,-9.2,-8.29,97.2,0.503,27.5,13.4,74.0,12.8,2024
Charlotte Hornets,Charlotte Hornets,21.0,109.3,119.8,-10.5,-10.12,97.3,0.529,21.1,12.6,74.5,12.3,2024
Oklahoma City Thunder,Oklahoma City Thunder,68.0,120.3,107.5,12.8,12.7,100.0,0.56,24.2,10.3,74.6,14.9,2025
Boston Celtics,Boston Celtics,61.0,120.6,111.1,9.5,8.28,95.7,0.561,25.7,10.8,76.0,11.6,2025
Cleveland Cavaliers,Cleveland Cavaliers,64.0,121.7,112.2,9.5,8.81,99.8,0.578,25.9,11.6,74.8,12.6,2025
Minnesota Timberwolves,Minnesota Timberwolves,49.0,116.6,111.5,5.1,5.15,97.3,0.554,25.8,13.0,75.1,13.2,2025
Los Angeles Clippers,Los Angeles Clippers,50.0,115.1,110.3,4.8,4.84,97.5,0.554,24.4,13.4,77.5,13.7,2025
Memphis Grizzlies,Memphis Grizzlies,48.0,117.7,113.0,4.7,4.79,103.3,0.554,28.7,13.1,74.9,12.9,2025
Houston Rockets,Houston Rockets,52.0,115.3,110.8,4.5,4.97,98.6,0.523,31.7,11.8,76.2,12.8,2025
New York Knicks,New York Knicks,51.0,118.5,114.3,4.2,3.59,96.7,0.556,26.0,11.9,74.5,13.1,2025
Denver Nuggets,Denver Nuggets,50.0,119.9,116.0,3.9,3.97,99.8,0.573,26.7,12.5,74.6,11.3,2025
Golden State Warriors,Golden State Warriors,48.0,115.0,111.7,3.3,3.56,98.7,0.536,27.3,12.3,75.6,14.1,2025
Milwaukee Bucks,Milwaukee Bucks,48.0,115.9,113.4,2.5,2.12,99.3,0.568,19.3,12.2,76.2,11.4,2025
Indiana Pacers,Indiana Pacers,50.0,116.5,114.3,2.2,1.68,99.9,0.562,21.3,11.8,74.5,13.1,2025
Detroit Pistons,Detroit Pistons,44.0,115.0,113.1,1.9,1.73,99.8,0.547,26.2,13.0,76.0,13.3,2025
Los Angeles Lakers,Los Angeles Lakers,50.0,115.9,114.7,1.2,1.45,97.6,0.557,23.3,12.7,74.5,12.2,2025
Miami Heat,Miami Heat,37.0,113.5,112.9,0.6,0.11,96.2,0.544,22.3,12.4,75.8,12.5,2025
Sacramento Kings,Sacramento Kings,40.0,116.7,116.2,0.5,0.58,98.2,0.548,25.4,11.8,76.9,12.5,2025
Orlando Magic,Orlando Magic,41.0,109.4,109.6,-0.2,-0.7,96.1,0.51,25.3,12.9,77.0,15.0,2025
Atlanta Hawks,Atlanta Hawks,40.0,114.6,115.7,-1.1,-1.41,102.6,0.546,26.3,13.2,76.0,13.8,2025
Dallas Mavericks,Dallas Mavericks,39.0,114.8,116.0,-1.2,-0.74,99.2,0.549,23.3,12.5,73.1,11.6,2025
Chicago Bulls,Chicago Bulls,39.0,114.1,115.6,-1.5,-1.83,102.8,0.553,22.3,12.7,76.6,10.8,2025
San Antonio Spurs,San Antonio Spurs,34.0,114.4,117.2,-2.8,-2.45,99.3,0.544,24.3,12.3,73.0,12.0,2025
Portland Trail Blazers,Portland Trail Blazers,36.0,111.7,114.7,-3.0,-2.67,98.8,0.521,29.2,13.8,72.5,13.6,2025
Phoenix Suns,Phoenix Suns,36.0,116.2,119.3,-3.1,-2.55,97.1,0.561,22.6,12.8,74.1,10.9,2025
Toronto Raptors,Toronto Raptors,30.0,110.5,114.8,-4.3,-4.4,99.7,0.522,27.3,13.3,73.9,13.2,2025
Philadelphia 76ers,Philadelphia 76ers,24.0,111.9,118.2,-6.3,-6.29,97.4,0.527,23.4,12.3,71.8,14.3,2025
Brooklyn Nets,Brooklyn Nets,26.0,108.5,115.8,-7.3,-6.95,96.4,0.516,24.5,13.7,75.0,13.7,2025
Utah Jazz,Utah Jazz,17.0,111.2,120.4,-9.2,-8.51,100.0,0.533,26.9,14.9,74.1,10.3,2025
Charlotte Hornets,Charlotte Hornets,19.0,107.3,116.6,-9.3,-9.1,97.6,0.503,26.5,13.7,74.5,11.9,2025
New Orleans Pelicans,New Orleans Pelicans,21.0,110.4,119.9,-9.5,-8.59,99.1,0.519,26.3,12.8,72.7,12.3,2025
Washington Wizards,Washington Wizards,18.0,106.8,119.1,-12.3,-12.14,100.9,0.512,22.7,13.6,71.9,11.4,2025
